lmstar,z_best,lsma,lssfr,dlsma,dlssfr,lAv,b2a,ssfr_flag,lsigsfr,sigstar,lSIGgas_KS,lSIGgas_eKS,lSIGgas_dyn_TF,lSIGgas_dyn_GMs,lSIGgas_dyn_GMtot,lSIGgas_re,lSIGmol_T18,lSIGmol_mff,lSIGmol_mff_varyH,lmgas_KS,lmgas_eKS,lmgas_dyn_TF,lmgas_dyn_GMs,lmgas_dyn_GMtot,lmgas_re,lmmol_T18,lmmol_mff,lmmol_mff_varyH,lmmol_re,lAvtot_KS,lAvtot_eKS,lAvtot_dyn_TF,lAvtot_dyn_GMs,lAvtot_dyn_GMtot,lAvtot_re,lAvmol_T18,lAvmol_mff,lAvmol_mff_varyH,ltautot_KS,ltautot_eKS,ltautot_dyn_TF,ltautot_dyn_GMs,ltautot_dyn_GMtot,ltautot_re,ltaumol_T18,ltaumol_mff,ltaumol_mff_varyH
9.182,0.823,0.286,-8.793,-0.135,0.143,-0.398,0.447,1.000,-0.981,7.812,8.115,11.413,252498848.223,8.659,8.206,7.892,7.442,7.845,8.274,9.485,12.783,252498849.593,10.029,9.576,8.961,8.812,9.215,9.644,8.511,0.369,3.667,inf,0.912,0.460,0.146,-0.305,0.099,0.527,0.333,3.631,inf,0.876,0.424,0.110,-0.341,0.063,0.492
9.068,1.181,0.425,-8.773,0.054,-0.085,-0.739,0.361,1.000,-1.353,7.420,7.846,11.248,152185810.469,8.552,7.971,7.706,7.065,7.628,8.103,9.493,12.896,152185812.117,10.200,9.618,9.053,8.713,9.276,9.751,8.412,-0.062,3.341,inf,0.644,0.063,-0.201,-0.842,-0.279,0.196,-0.098,3.305,inf,0.608,0.027,-0.237,-0.878,-0.315,0.160
9.601,1.531,0.650,-9.251,0.226,-0.605,-0.363,0.363,0.000,-1.748,7.503,7.560,10.823,69844879.863,8.228,7.828,7.606,7.141,7.364,7.914,9.657,12.921,69844881.961,10.326,9.926,9.403,9.239,9.462,10.012,8.938,-0.206,3.058,inf,0.463,0.063,-0.160,-0.624,-0.401,0.149,-0.242,3.022,inf,0.427,0.027,-0.195,-0.660,-0.437,0.113
10.431,1.142,0.726,-8.393,0.170,0.546,0.331,0.547,1.000,-0.212,8.181,8.673,11.975,1722947998.393,9.463,8.811,8.300,8.388,8.329,8.904,10.923,14.225,1722948000.643,11.713,11.061,10.249,10.638,10.579,11.154,10.337,1.235,4.538,inf,2.025,1.373,0.863,0.951,0.891,1.466,1.199,4.502,inf,1.989,1.337,0.827,0.915,0.855,1.430
10.723,1.012,0.756,-8.961,0.161,0.032,0.255,0.613,1.000,-0.548,8.412,8.429,11.533,715799695.170,9.026,8.672,8.240,8.261,8.088,8.673,10.739,13.844,715799697.480,11.337,10.982,10.249,10.572,10.398,10.984,10.271,1.061,4.166,inf,1.659,1.304,0.872,0.894,0.720,1.306,1.025,4.130,inf,1.623,1.269,0.836,0.858,0.684,1.270
10.173,1.110,0.616,-9.047,0.096,-0.155,0.090,0.511,1.000,-0.904,8.143,8.171,11.323,318792223.415,8.735,8.390,8.051,7.961,7.877,8.416,10.202,13.353,318792225.445,10.766,10.420,9.781,9.992,9.908,10.446,9.691,0.677,3.829,inf,1.241,0.896,0.557,0.467,0.383,0.922,0.641,3.793,inf,1.205,0.860,0.521,0.431,0.347,0.886
9.083,0.823,0.237,-8.587,-0.169,0.342,-0.046,0.498,1.000,-0.776,7.811,8.263,11.613,392296552.271,8.839,8.306,7.969,7.506,7.966,8.378,9.535,12.885,392296553.543,10.111,9.578,8.939,8.777,9.238,9.650,8.476,0.477,3.826,inf,1.053,0.519,0.182,-0.281,0.180,0.592,0.441,3.790,inf,1.017,0.483,0.146,-0.317,0.144,0.556
9.093,0.459,0.691,-9.986,0.266,-0.698,-1.000,0.251,0.000,-3.073,6.913,6.599,9.832,6732585.158,7.219,6.978,6.692,5.814,6.534,7.098,8.780,12.012,6732587.338,9.399,9.159,8.572,7.995,8.715,9.278,7.694,-1.048,2.185,inf,-0.428,-0.668,-0.955,-1.832,-1.112,-0.549,-1.083,2.149,inf,-0.464,-0.704,-0.990,-1.868,-1.148,-0.584
9.258,1.306,0.177,-8.880,-0.219,-0.157,-0.097,0.547,1.000,-0.775,8.106,8.265,11.467,280808137.542,8.664,8.332,8.144,7.756,7.954,8.346,9.417,12.619,280808138.694,9.816,9.484,8.996,8.908,9.106,9.498,8.607,0.407,3.610,inf,0.806,0.474,0.287,-0.102,0.096,0.489,0.372,3.574,inf,0.771,0.438,0.251,-0.137,0.061,0.453
9.783,0.616,0.664,-8.866,0.149,0.107,0.041,0.598,1.000,-1.208,7.658,7.951,11.270,236291283.009,8.697,8.159,7.742,7.441,7.652,8.206,10.076,13.395,236291285.134,10.822,10.284,9.567,9.566,9.777,10.331,9.265,0.461,3.780,inf,1.207,0.669,0.253,-0.049,0.162,0.716,0.425,3.744,inf,1.172,0.633,0.217,-0.085,0.126,0.680
