lmstar,z_best,lsma,lssfr,dlsma,dlssfr,lAv,b2a,ssfr_flag,lsigsfr,sigstar,lSIGgas_KS,lSIGgas_eKS,lSIGgas_dyn_TF,lSIGgas_dyn_GMs,lSIGgas_dyn_GMtot,lSIGgas_re,lSIGmol_T18,lSIGmol_mff,lSIGmol_mff_varyH,lmgas_KS,lmgas_eKS,lmgas_dyn_TF,lmgas_dyn_GMs,lmgas_dyn_GMtot,lmgas_re,lmmol_T18,lmmol_mff,lmmol_mff_varyH,lmmol_re,lAvtot_KS,lAvtot_eKS,lAvtot_dyn_TF,lAvtot_dyn_GMs,lAvtot_dyn_GMtot,lAvtot_re,lAvmol_T18,lAvmol_mff,lAvmol_mff_varyH,ltautot_KS,ltautot_eKS,ltautot_dyn_TF,ltautot_dyn_GMs,ltautot_dyn_GMtot,ltautot_re,ltaumol_T18,ltaumol_mff,ltaumol_mff_varyH
10.124,0.980,0.287,-8.464,-0.280,0.531,0.176,0.721,1.000,0.287,8.751,9.034,12.175,2405977185.328,9.458,9.066,8.662,8.829,8.622,9.051,10.407,13.548,2405977186.700,10.831,10.438,9.734,10.202,9.994,10.424,9.901,1.551,4.692,inf,1.975,1.583,1.179,1.346,1.139,1.568,1.515,4.656,inf,1.939,1.547,1.143,1.310,1.103,1.532
9.599,1.293,0.551,-8.687,0.109,0.099,-0.222,0.439,1.000,-0.990,7.698,8.109,11.462,322392795.316,8.840,8.254,7.901,7.623,7.842,8.359,10.010,13.363,322392797.217,10.741,10.155,9.501,9.524,9.743,10.260,9.223,0.394,3.748,inf,1.125,0.539,0.187,-0.092,0.128,0.645,0.359,3.712,inf,1.089,0.503,0.151,-0.128,0.092,0.609
9.107,1.021,0.548,-8.731,0.173,-0.035,-0.145,0.264,1.000,-1.519,7.212,7.725,11.191,136912504.789,8.552,7.872,7.570,6.901,7.563,8.079,9.620,13.086,136912506.684,10.447,9.767,9.164,8.796,9.458,9.974,8.495,-0.116,3.350,inf,0.711,0.031,-0.271,-0.940,-0.278,0.238,-0.152,3.314,inf,0.675,-0.005,-0.307,-0.976,-0.314,0.202
9.789,1.531,0.193,-8.470,-0.254,0.225,-0.066,0.804,1.000,0.136,8.605,8.925,12.101,1655093243.135,9.332,8.931,8.661,8.676,8.505,8.903,10.108,13.284,1655093244.318,10.516,10.115,9.544,9.860,9.688,10.086,9.559,1.231,4.408,inf,1.639,1.238,0.968,0.983,0.812,1.209,1.196,4.372,inf,1.603,1.202,0.932,0.947,0.776,1.174
9.471,1.227,0.616,-8.979,0.191,-0.217,-0.398,0.335,1.000,-1.539,7.441,7.711,11.057,115374344.928,8.452,7.926,7.619,7.164,7.515,8.054,9.742,13.088,115374346.959,10.482,9.957,9.349,9.195,9.546,10.085,8.894,-0.037,3.309,inf,0.703,0.178,-0.129,-0.584,-0.233,0.306,-0.073,3.274,inf,0.668,0.142,-0.164,-0.620,-0.269,0.270
9.061,1.294,0.132,-8.563,-0.237,0.124,-0.887,0.501,1.000,-0.564,7.999,8.417,11.725,473923651.515,8.905,8.427,8.197,7.730,8.107,8.484,9.479,12.787,473923652.577,9.967,9.489,8.957,8.792,9.169,9.546,8.491,0.473,3.781,inf,0.961,0.483,0.252,-0.214,0.163,0.540,0.438,3.745,inf,0.925,0.447,0.217,-0.250,0.127,0.504
9.888,1.414,0.738,-9.188,0.256,-0.349,-0.046,0.273,1.000,-1.574,7.614,7.686,10.937,106757024.005,8.390,7.969,7.641,7.359,7.521,8.101,9.959,13.210,106757026.279,10.664,10.243,9.613,9.633,9.795,10.374,9.332,0.050,3.301,inf,0.755,0.333,0.005,-0.276,-0.114,0.465,0.014,3.265,inf,0.719,0.297,-0.031,-0.312,-0.150,0.429
9.223,0.670,0.501,-8.758,0.073,0.180,-0.222,0.627,1.000,-1.335,7.423,7.859,11.264,184881388.578,8.607,8.001,7.626,7.092,7.561,8.061,9.658,13.064,184881390.377,10.406,9.801,9.125,8.891,9.360,9.860,8.590,0.180,3.585,inf,0.927,0.322,-0.053,-0.588,-0.119,0.381,0.144,3.549,inf,0.892,0.286,-0.089,-0.624,-0.155,0.346
9.438,0.898,0.044,-8.866,-0.417,0.085,0.111,0.638,1.000,-0.315,8.551,8.598,11.690,545195209.836,8.834,8.602,8.388,8.220,8.238,8.586,9.484,12.577,545195210.723,9.721,9.488,8.973,9.106,9.124,9.472,8.805,0.924,4.017,inf,1.161,0.928,0.715,0.546,0.564,0.912,0.889,3.981,inf,1.125,0.892,0.679,0.510,0.529,0.877
9.642,0.495,-0.078,-10.807,-0.608,-1.514,-0.699,0.637,-1.000,-1.807,9.000,7.517,10.017,12312212.563,7.057,7.054,7.882,7.542,7.243,7.551,8.159,10.660,12312213.205,7.699,7.696,8.223,8.184,7.886,8.193,7.883,0.023,2.524,inf,-0.437,-0.439,0.389,0.048,-0.250,0.058,-0.012,2.488,inf,-0.472,-0.475,0.353,0.013,-0.286,0.022
10.149,0.668,0.626,-8.675,0.055,0.322,0.079,0.931,1.000,-0.576,8.099,8.409,11.663,721277420.478,9.090,8.574,8.119,8.042,8.009,8.551,10.459,13.713,721277422.528,11.140,10.624,9.868,10.092,10.059,10.601,9.791,0.991,4.245,inf,1.672,1.156,0.701,0.624,0.591,1.133,0.955,4.210,inf,1.637,1.120,0.665,0.588,0.556,1.098
10.155,1.479,0.541,-9.216,0.023,-0.328,0.342,0.379,1.000,-0.942,8.275,8.144,11.220,246510342.901,8.594,8.349,8.085,8.022,7.895,8.409,10.024,13.101,246510344.782,10.475,10.230,9.665,9.902,9.776,10.290,9.601,0.582,3.659,inf,1.033,0.788,0.524,0.460,0.334,0.848,0.546,3.623,inf,0.997,0.752,0.488,0.425,0.298,0.812
9.241,1.248,0.260,-8.500,-0.134,0.220,-0.301,0.522,1.000,-0.577,7.923,8.408,11.750,544284080.931,8.994,8.441,8.154,7.785,8.092,8.512,9.725,13.068,544284082.248,10.311,9.758,9.170,9.103,9.410,9.829,8.802,0.559,3.901,inf,1.145,0.592,0.304,-0.064,0.243,0.663,0.523,3.865,inf,1.109,0.556,0.269,-0.100,0.207,0.627
10.283,1.626,0.252,-9.568,-0.254,-0.748,0.224,0.650,0.000,-0.588,8.981,8.400,11.211,264611837.545,8.451,8.395,8.485,8.517,8.054,8.471,9.703,12.514,264611838.848,9.754,9.698,9.487,9.820,9.356,9.774,9.519,0.855,3.665,inf,0.905,0.849,0.939,0.971,0.508,0.925,0.819,3.630,inf,0.869,0.813,0.903,0.935,0.472,0.889
9.909,1.425,0.668,-8.490,0.183,0.354,0.079,0.260,1.000,-0.714,7.776,8.309,11.691,648931160.065,9.134,8.446,8.009,7.908,8.101,8.657,10.442,13.824,648931162.199,11.268,10.579,9.841,10.041,10.235,10.791,9.740,0.678,4.060,inf,1.504,0.815,0.378,0.277,0.471,1.027,0.642,4.024,inf,1.468,0.779,0.342,0.241,0.435,0.991
9.045,1.096,0.482,-8.860,0.115,-0.175,-0.398,0.628,1.000,-1.576,7.283,7.684,11.100,106776148.093,8.426,7.839,7.578,6.869,7.399,7.893,9.446,12.862,106776149.855,10.188,9.601,9.039,8.631,9.161,9.655,8.330,-0.208,3.208,inf,0.533,-0.053,-0.314,-1.023,-0.493,0.001,-0.244,3.172,inf,0.498,-0.089,-0.350,-1.059,-0.529,-0.035
9.718,0.955,-0.174,-10.539,-0.678,-1.569,-0.398,0.786,-1.000,-1.271,9.267,7.905,10.404,29918200.942,7.411,7.408,8.284,8.061,7.570,7.845,8.355,10.854,29918201.393,7.861,7.858,8.433,8.511,8.020,8.296,8.210,0.311,2.811,inf,-0.183,-0.186,0.691,0.467,-0.023,0.252,0.276,2.775,inf,-0.219,-0.222,0.655,0.431,-0.059,0.216
9.228,0.777,0.518,-9.035,0.090,-0.097,-0.155,0.273,1.000,-1.641,7.394,7.637,10.982,91798809.133,8.324,7.835,7.505,6.929,7.477,7.983,9.471,12.816,91798810.967,10.158,9.669,9.037,8.763,9.311,9.817,8.462,-0.077,3.268,inf,0.610,0.121,-0.209,-0.785,-0.237,0.269,-0.112,3.232,inf,0.574,0.085,-0.245,-0.820,-0.273,0.233
10.267,1.306,-0.173,-10.403,-0.706,-1.494,-0.285,0.671,-1.000,-0.588,9.815,8.400,10.793,100669337.177,7.820,7.818,8.746,8.805,8.048,8.324,8.852,11.245,100669337.629,8.272,8.270,8.897,9.257,8.500,8.776,8.956,0.898,3.291,inf,0.318,0.316,1.244,1.303,0.546,0.822,0.862,3.255,inf,0.282,0.280,1.208,1.267,0.510,0.786
10.618,2.100,0.644,-9.036,0.163,-0.130,0.230,0.521,1.000,-0.505,8.531,8.460,11.516,643748123.346,8.954,8.673,8.327,8.435,8.140,8.688,10.547,13.603,643748125.433,11.041,10.760,10.113,10.522,10.227,10.775,10.221,0.950,4.006,inf,1.445,1.164,0.818,0.926,0.631,1.179,0.915,3.970,inf,1.409,1.128,0.782,0.890,0.595,1.143
10.076,0.675,0.120,-10.366,-0.439,-1.374,-0.398,0.768,-1.000,-1.329,9.037,7.863,10.463,41646940.620,7.615,7.607,8.174,7.968,7.535,7.908,8.902,11.502,41646941.659,8.654,8.646,8.912,9.007,8.574,8.947,8.706,0.428,3.028,inf,0.181,0.173,0.740,0.534,0.100,0.474,0.392,2.992,inf,0.145,0.137,0.704,0.498,0.064,0.438
9.747,0.784,0.267,-9.103,-0.242,-0.132,0.204,0.445,1.000,-0.688,8.415,8.327,11.396,314911415.741,8.641,8.426,8.197,8.045,8.041,8.463,9.660,12.729,314911417.074,9.974,9.759,9.229,9.378,9.374,9.796,9.077,0.785,3.854,inf,1.099,0.884,0.655,0.503,0.499,0.921,0.749,3.818,inf,1.063,0.848,0.619,0.467,0.463,0.885
9.342,0.511,0.698,-9.240,0.252,-0.294,-0.523,0.820,1.000,-2.091,7.148,7.311,10.667,48833993.877,8.086,7.593,7.252,6.582,7.017,7.583,9.505,12.862,48833996.072,10.281,9.788,9.145,8.776,9.211,9.777,8.475,-0.273,3.083,inf,0.502,0.009,-0.332,-1.002,-0.567,-0.001,-0.309,3.047,inf,0.466,-0.026,-0.368,-1.038,-0.603,-0.037
10.534,2.491,0.684,-9.463,0.214,-0.582,0.146,0.536,0.000,-1.094,8.369,8.034,11.026,190730752.549,8.466,8.290,8.065,8.051,7.744,8.305,10.199,13.191,190730754.714,10.632,10.455,9.930,10.216,9.909,10.470,9.915,0.461,3.453,inf,0.894,0.718,0.493,0.478,0.172,0.733,0.425,3.417,inf,0.858,0.682,0.457,0.442,0.136,0.697
9.562,1.227,0.304,-8.596,-0.134,0.183,0.041,0.454,1.000,-0.439,8.157,8.508,11.767,664705735.649,9.037,8.570,8.265,8.087,8.204,8.639,9.913,13.172,664705737.054,10.442,9.975,9.369,9.492,9.609,10.044,9.191,0.795,4.054,inf,1.324,0.857,0.552,0.374,0.491,0.926,0.759,4.018,inf,1.288,0.821,0.516,0.338,0.455,0.890
9.407,1.736,0.277,-8.956,-0.123,-0.360,-0.222,0.501,1.000,-0.902,8.054,8.172,11.369,233877649.769,8.612,8.280,8.124,7.754,7.881,8.307,9.525,12.721,233877651.121,9.964,9.632,9.176,9.106,9.234,9.659,8.805,0.281,3.477,inf,0.721,0.389,0.233,-0.138,-0.010,0.416,0.245,3.442,inf,0.685,0.353,0.197,-0.174,-0.046,0.380
9.994,2.002,0.640,-9.635,0.247,-0.923,-0.046,0.782,0.000,-1.720,7.915,7.580,10.644,56557583.479,8.045,7.860,7.737,7.454,7.272,7.818,9.658,12.723,56557585.558,10.124,9.938,9.515,9.533,9.350,9.897,9.232,-0.117,2.948,inf,0.349,0.163,0.041,-0.243,-0.425,0.122,-0.153,2.912,inf,0.313,0.127,0.005,-0.278,-0.461,0.086
9.340,1.384,0.321,-8.890,-0.086,-0.151,-0.074,0.562,1.000,-0.990,7.900,8.109,11.361,223997099.854,8.623,8.224,7.988,7.600,7.806,8.246,9.549,12.801,223997101.295,10.064,9.665,9.128,9.041,9.247,9.687,8.740,0.267,3.520,inf,0.782,0.383,0.147,-0.241,-0.035,0.405,0.232,3.484,inf,0.746,0.347,0.112,-0.277,-0.071,0.370
9.350,2.022,0.144,-8.728,-0.159,-0.216,-0.216,0.276,1.000,-0.463,8.264,8.490,11.690,486454016.865,8.879,8.524,8.387,8.070,8.260,8.641,9.576,12.776,486454017.951,9.965,9.610,9.172,9.156,9.346,9.727,8.855,0.515,3.715,inf,0.904,0.549,0.412,0.095,0.285,0.666,0.479,3.679,inf,0.868,0.514,0.376,0.059,0.249,0.630
9.513,1.650,0.641,-8.762,0.227,-0.138,0.000,0.376,1.000,-1.328,7.434,7.863,11.265,189300559.348,8.678,8.044,7.742,7.321,7.639,8.186,9.943,13.345,189300561.428,10.757,10.123,9.521,9.401,9.718,10.265,9.100,0.037,3.438,inf,0.851,0.217,-0.084,-0.505,-0.188,0.359,0.001,3.403,inf,0.815,0.181,-0.120,-0.541,-0.224,0.323
9.567,2.314,0.098,-8.567,-0.235,0.013,-0.398,0.633,1.000,0.006,8.573,8.831,11.992,1119527978.056,9.171,8.823,8.643,8.544,8.453,8.819,9.825,12.986,1119527979.050,10.166,9.817,9.336,9.539,9.447,9.813,9.238,0.908,4.068,inf,1.248,0.900,0.720,0.621,0.530,0.896,0.872,4.033,inf,1.212,0.864,0.684,0.585,0.494,0.860
9.305,1.294,0.543,-8.685,0.141,0.047,-0.301,0.332,1.000,-1.265,7.421,7.910,11.334,204489288.686,8.699,8.049,7.723,7.243,7.699,8.214,9.794,13.218,204489290.570,10.584,9.934,9.307,9.128,9.584,10.098,8.827,0.076,3.500,inf,0.866,0.215,-0.110,-0.590,-0.134,0.380,0.040,3.464,inf,0.830,0.180,-0.146,-0.626,-0.170,0.344
9.143,0.423,0.683,-9.220,0.248,0.068,-1.000,0.540,1.000,-2.240,6.980,7.203,10.607,43845547.634,8.014,7.478,7.019,6.321,6.978,7.539,9.366,12.770,43845549.797,10.177,9.641,8.881,8.484,9.142,9.703,8.183,-0.413,2.992,inf,0.398,-0.138,-0.597,-1.295,-0.637,-0.076,-0.449,2.956,inf,0.363,-0.174,-0.633,-1.331,-0.673,-0.112
9.210,2.021,0.364,-8.638,0.081,-0.170,-0.398,0.350,1.000,-0.954,7.684,8.135,11.504,285909397.431,8.788,8.220,8.021,7.505,7.898,8.353,9.660,13.029,285909398.956,10.314,9.745,9.245,9.031,9.424,9.879,8.730,0.090,3.459,inf,0.744,0.175,-0.024,-0.540,-0.146,0.308,0.054,3.423,inf,0.708,0.139,-0.060,-0.575,-0.182,0.273
9.607,0.763,0.221,-9.416,-0.267,-0.453,0.083,0.389,0.000,-1.048,8.368,8.067,11.071,136636021.684,8.281,8.151,8.053,7.780,7.821,8.228,9.306,12.310,136636022.923,9.521,9.391,8.992,9.020,9.061,9.467,8.719,0.488,3.492,inf,0.703,0.573,0.475,0.202,0.242,0.649,0.452,3.456,inf,0.667,0.537,0.439,0.166,0.207,0.613
9.238,1.740,0.480,-8.838,0.100,-0.285,-0.306,0.347,1.000,-1.358,7.481,7.842,11.213,145857598.913,8.544,7.994,7.773,7.201,7.631,8.124,9.600,12.971,145857600.671,10.302,9.752,9.229,8.958,9.388,9.881,8.657,-0.129,3.242,inf,0.573,0.023,-0.199,-0.770,-0.340,0.153,-0.165,3.206,inf,0.537,-0.013,-0.234,-0.806,-0.376,0.117
9.646,0.666,0.538,-9.154,0.045,-0.189,-0.097,0.694,1.000,-1.382,7.772,7.825,11.044,129825918.144,8.404,8.042,7.722,7.360,7.514,8.027,9.699,12.919,129825920.019,10.279,9.917,9.296,9.235,9.389,9.902,8.934,0.284,3.504,inf,0.864,0.502,0.182,-0.180,-0.026,0.487,0.249,3.468,inf,0.828,0.466,0.146,-0.216,-0.062,0.451
9.367,1.412,0.190,-8.969,-0.221,-0.226,-0.150,0.609,1.000,-0.780,8.189,8.261,11.420,263248599.445,8.623,8.338,8.164,7.841,7.934,8.331,9.439,12.598,263248600.623,9.801,9.516,9.042,9.020,9.113,9.509,8.719,0.424,3.584,inf,0.787,0.502,0.328,0.005,0.098,0.495,0.388,3.548,inf,0.751,0.466,0.292,-0.031,0.062,0.459
10.637,2.114,0.275,-8.711,-0.209,0.202,0.119,0.825,1.000,0.578,9.289,9.245,12.189,3298432634.047,9.474,9.272,8.985,9.330,8.796,9.221,10.594,13.538,3298432635.396,10.823,10.621,10.033,10.679,10.145,10.570,10.378,1.740,4.683,inf,1.969,1.767,1.480,1.824,1.291,1.716,1.704,4.648,inf,1.933,1.731,1.444,1.789,1.255,1.680
9.761,1.553,0.304,-8.709,-0.139,-0.021,0.176,0.499,1.000,-0.354,8.355,8.570,11.751,704356917.006,9.023,8.647,8.397,8.300,8.247,8.682,9.976,13.157,704356918.412,10.430,10.053,9.503,9.706,9.654,10.089,9.405,0.862,4.043,inf,1.316,0.939,0.690,0.592,0.539,0.974,0.826,4.007,inf,1.280,0.903,0.654,0.556,0.504,0.938
10.498,1.357,0.688,-8.969,0.123,-0.018,0.230,0.552,1.000,-0.645,8.324,8.359,11.483,557144511.897,8.939,8.585,8.188,8.225,8.039,8.601,10.533,13.658,557144514.071,11.114,10.759,10.061,10.399,10.213,10.776,10.098,0.906,4.031,inf,1.487,1.132,0.735,0.772,0.586,1.149,0.870,3.995,inf,1.451,1.096,0.700,0.736,0.550,1.113
9.196,0.760,0.179,-8.780,-0.244,0.156,-0.336,0.853,1.000,-0.741,8.039,8.289,11.533,344562481.244,8.732,8.345,8.059,7.660,7.912,8.305,9.446,12.689,344562482.401,9.888,9.502,8.915,8.817,9.068,9.462,8.516,0.569,3.813,inf,1.011,0.625,0.339,-0.060,0.192,0.585,0.533,3.777,inf,0.976,0.589,0.303,-0.096,0.156,0.549
10.682,1.841,0.740,-8.922,0.186,-0.000,0.204,0.554,1.000,-0.519,8.403,8.450,11.566,750221804.352,9.052,8.684,8.272,8.360,8.122,8.702,10.729,13.845,750221806.631,11.331,10.963,10.250,10.639,10.401,10.981,10.338,0.984,4.100,inf,1.586,1.217,0.806,0.893,0.656,1.236,0.948,4.064,inf,1.550,1.182,0.770,0.858,0.620,1.200
10.013,2.321,0.187,-8.623,-0.209,0.095,-0.085,0.740,1.000,0.217,8.840,8.984,12.063,1699901922.015,9.293,9.001,8.765,8.900,8.571,8.967,10.156,13.235,1699901923.187,10.466,10.174,9.636,10.072,9.744,10.139,9.771,1.250,4.329,inf,1.559,1.267,1.031,1.165,0.837,1.233,1.214,4.293,inf,1.523,1.231,0.995,1.130,0.801,1.197
9.413,1.993,0.346,-8.604,-0.055,-0.005,-0.050,0.460,1.000,-0.680,7.923,8.333,11.650,451763963.745,8.934,8.408,8.159,7.836,8.042,8.490,9.823,13.140,451763965.235,10.424,9.898,9.348,9.326,9.532,9.980,9.025,0.394,3.710,inf,0.994,0.469,0.219,-0.103,0.102,0.551,0.358,3.675,inf,0.958,0.433,0.183,-0.139,0.066,0.515
10.635,0.633,0.498,-10.540,-0.148,-1.513,-0.296,0.873,-1.000,-1.700,8.841,7.594,10.201,29772010.692,7.532,7.521,7.958,7.695,7.269,7.769,9.389,11.996,29772012.487,9.327,9.316,9.452,9.490,9.064,9.564,9.189,0.257,2.864,inf,0.195,0.184,0.621,0.358,-0.068,0.432,0.221,2.828,inf,0.159,0.148,0.585,0.322,-0.104,0.396
10.589,0.731,0.490,-10.270,-0.149,-1.246,0.047,0.422,0.000,-1.460,8.810,7.768,10.449,52008846.488,7.783,7.763,8.036,7.846,7.534,8.031,9.547,12.228,52008848.267,9.562,9.542,9.514,9.625,9.313,9.810,9.324,0.414,3.095,inf,0.429,0.409,0.682,0.492,0.180,0.677,0.378,3.059,inf,0.393,0.373,0.646,0.456,0.144,0.641
9.695,1.460,0.247,-9.016,-0.209,-0.213,-0.046,0.385,1.000,-0.613,8.403,8.382,11.475,355151687.352,8.711,8.470,8.279,8.145,8.112,8.527,9.673,12.766,355151688.644,10.003,9.762,9.270,9.436,9.403,9.819,9.135,0.667,3.761,inf,0.997,0.756,0.565,0.430,0.398,0.813,0.632,3.725,inf,0.961,0.720,0.529,0.395,0.362,0.777
10.114,0.736,0.326,-8.776,-0.240,0.219,0.079,0.694,1.000,-0.111,8.665,8.746,11.832,1071641341.815,9.122,8.828,8.487,8.528,8.362,8.804,10.195,13.281,1071641343.264,10.572,10.278,9.635,9.977,9.811,10.253,9.676,1.307,4.393,inf,1.684,1.390,1.049,1.089,0.923,1.365,1.271,4.357,inf,1.648,1.354,1.013,1.054,0.887,1.329
10.049,0.882,0.766,-8.796,0.210,0.194,0.079,0.515,1.000,-1.077,7.719,8.045,11.367,329739178.749,8.849,8.268,7.805,7.646,7.761,8.349,10.376,13.697,329739181.080,11.179,10.599,9.835,9.976,10.091,10.680,9.675,0.563,3.884,inf,1.366,0.786,0.323,0.163,0.278,0.867,0.527,3.848,inf,1.330,0.750,0.287,0.127,0.242,0.831
10.190,0.704,0.146,-10.705,-0.431,-1.706,-0.367,0.729,-1.000,-1.605,9.099,7.663,10.164,21683090.212,7.321,7.317,8.093,7.858,7.358,7.740,8.754,11.255,21683091.303,8.412,8.408,8.883,8.949,8.449,8.831,8.648,0.246,2.747,inf,-0.096,-0.099,0.677,0.442,-0.058,0.324,0.210,2.711,inf,-0.132,-0.135,0.641,0.406,-0.094,0.288
9.797,0.725,0.474,-10.041,-0.043,-1.067,-0.155,0.415,-1.000,-1.990,8.051,7.384,10.314,24622987.225,7.624,7.555,7.595,7.180,7.183,7.675,9.130,12.060,24622988.971,9.370,9.301,9.040,8.926,8.929,9.421,8.625,-0.129,2.801,inf,0.111,0.042,0.081,-0.334,-0.330,0.161,-0.165,2.765,inf,0.075,0.006,0.046,-0.369,-0.366,0.125
9.904,0.241,0.457,-9.006,-0.123,0.289,0.301,0.315,1.000,-0.815,8.191,8.235,11.385,371404622.944,8.721,8.400,7.959,7.758,8.007,8.492,9.948,13.098,371404624.657,10.434,10.112,9.371,9.470,9.720,10.205,9.169,0.863,4.013,inf,1.348,1.027,0.587,0.385,0.634,1.120,0.827,3.977,inf,1.313,0.991,0.551,0.349,0.598,1.084
9.490,1.292,0.488,-8.688,0.060,0.078,-0.155,0.309,1.000,-0.972,7.716,8.121,11.470,311364362.613,8.816,8.249,7.921,7.598,7.905,8.401,9.896,13.244,311364364.387,10.591,10.024,9.394,9.372,9.679,10.175,9.071,0.365,3.713,inf,1.060,0.493,0.164,-0.158,0.148,0.644,0.329,3.677,inf,1.024,0.457,0.128,-0.194,0.112,0.608
9.336,0.656,0.532,-9.652,0.087,-0.707,-0.125,0.336,-1.000,-2.178,7.474,7.248,10.420,26016385.550,7.754,7.522,7.335,6.686,7.089,7.599,9.110,12.282,26016387.413,9.616,9.384,8.896,8.549,8.951,9.462,8.248,-0.387,2.785,inf,0.119,-0.113,-0.300,-0.948,-0.546,-0.035,-0.423,2.750,inf,0.083,-0.148,-0.336,-0.984,-0.582,-0.071
10.053,1.220,0.611,-8.819,0.107,0.051,0.041,0.679,1.000,-0.786,8.033,8.257,11.492,444032096.226,8.906,8.442,8.064,7.979,7.915,8.452,10.277,13.513,444032098.246,10.926,10.462,9.783,9.999,9.935,10.472,9.698,0.710,3.945,inf,1.359,0.895,0.517,0.432,0.368,0.905,0.674,3.910,inf,1.323,0.859,0.481,0.396,0.332,0.869
9.823,0.735,0.100,-10.051,-0.420,-1.076,-0.092,0.654,0.000,-1.227,8.824,7.937,10.668,59181306.352,7.813,7.793,8.143,7.909,7.626,7.993,8.935,11.667,59181307.351,8.812,8.792,8.840,8.908,8.625,8.992,8.607,0.428,3.159,inf,0.304,0.284,0.634,0.400,0.117,0.484,0.392,3.123,inf,0.269,0.248,0.598,0.364,0.081,0.448
10.487,0.734,0.548,-9.770,-0.075,-0.752,0.204,0.270,0.000,-1.177,8.593,7.973,10.833,121316584.600,8.203,8.129,8.065,7.926,7.788,8.304,9.867,12.727,121316586.494,10.098,10.023,9.659,9.820,9.682,10.198,9.519,0.604,3.463,inf,0.834,0.760,0.696,0.557,0.419,0.935,0.568,3.428,inf,0.798,0.724,0.660,0.521,0.383,0.899
9.462,1.605,0.714,-8.722,0.307,-0.111,-0.393,0.689,1.000,-1.486,7.236,7.749,11.211,161359628.816,8.655,7.938,7.620,7.136,7.446,8.017,9.975,13.437,161359631.042,10.882,10.164,9.545,9.362,9.672,10.243,9.061,-0.090,3.372,inf,0.816,0.099,-0.219,-0.703,-0.393,0.178,-0.126,3.336,inf,0.781,0.063,-0.255,-0.739,-0.429,0.142
10.104,0.459,0.737,-9.265,0.118,0.031,0.041,0.541,1.000,-1.433,7.832,7.787,10.964,136662806.921,8.422,8.077,7.608,7.388,7.516,8.095,10.059,13.236,136662809.193,10.693,10.349,9.579,9.660,9.788,10.367,9.359,0.402,3.579,inf,1.036,0.692,0.222,0.003,0.130,0.709,0.366,3.543,inf,1.000,0.656,0.187,-0.033,0.095,0.673
9.305,1.740,0.397,-8.682,0.009,-0.111,-0.222,0.697,1.000,-0.968,7.714,8.125,11.475,282861491.251,8.776,8.227,7.990,7.541,7.790,8.255,9.716,13.067,282861492.842,10.368,9.819,9.281,9.133,9.381,9.847,8.832,0.186,3.536,inf,0.837,0.288,0.051,-0.398,-0.149,0.316,0.150,3.500,inf,0.801,0.252,0.015,-0.434,-0.185,0.280
9.576,1.466,-0.178,-8.728,-0.618,0.054,0.123,0.645,1.000,0.407,9.135,9.121,12.099,1507741733.946,9.153,8.998,8.915,8.953,8.717,8.991,9.562,12.541,1507741734.387,9.594,9.439,9.055,9.395,9.159,9.433,9.094,1.359,4.338,inf,1.391,1.236,1.153,1.192,0.956,1.230,1.323,4.302,inf,1.355,1.200,1.117,1.156,0.920,1.194
9.009,1.187,0.837,-8.747,0.475,-0.070,-0.517,0.401,1.000,-2.210,6.537,7.224,10.857,57050787.543,8.342,7.436,7.088,6.216,7.042,7.654,9.696,13.329,57050790.014,10.814,9.908,9.259,8.688,9.513,10.125,8.387,-0.713,2.920,inf,0.405,-0.501,-0.849,-1.721,-0.895,-0.283,-0.749,2.884,inf,0.369,-0.537,-0.884,-1.757,-0.931,-0.319
9.410,2.080,0.103,-8.557,-0.208,-0.027,-0.523,0.484,1.000,-0.151,8.406,8.716,11.922,873121912.177,9.100,8.713,8.544,8.326,8.387,8.755,9.721,12.926,873121913.181,10.104,9.717,9.247,9.330,9.391,9.759,9.029,0.759,3.965,inf,1.143,0.756,0.587,0.369,0.430,0.797,0.723,3.929,inf,1.107,0.720,0.551,0.333,0.394,0.761
9.489,1.689,0.515,-8.508,0.105,0.109,-0.222,0.266,1.000,-0.847,7.661,8.212,11.619,435195906.730,8.982,8.311,7.999,7.668,8.009,8.514,10.040,13.446,435195908.558,10.810,10.139,9.526,9.496,9.837,10.342,9.195,0.367,3.773,inf,1.137,0.466,0.154,-0.177,0.164,0.669,0.331,3.737,inf,1.101,0.430,0.118,-0.213,0.128,0.633
9.537,1.359,0.254,-9.223,-0.180,-0.449,-0.222,0.559,1.000,-0.993,8.231,8.107,11.193,167547237.566,8.422,8.218,8.091,7.805,7.805,8.223,9.412,12.498,167547238.872,9.727,9.524,9.096,9.111,9.111,9.529,8.810,0.353,3.439,inf,0.668,0.464,0.337,0.052,0.051,0.469,0.317,3.403,inf,0.632,0.429,0.301,0.016,0.016,0.433
9.182,1.712,0.457,-8.710,0.084,-0.171,-0.339,0.801,1.000,-1.241,7.469,7.927,11.332,188541740.118,8.656,8.049,7.816,7.232,7.588,8.073,9.639,13.045,188541741.830,10.368,9.761,9.228,8.945,9.300,9.786,8.644,-0.065,3.340,inf,0.663,0.057,-0.176,-0.760,-0.405,0.081,-0.101,3.304,inf,0.628,0.021,-0.212,-0.796,-0.440,0.045
